subscriber_id,name,email,city,country,joined_date,last_open_date,lifetime_purchases_jpy,segment_primary
MC-0055,Osamu Kobayashi,osamu.kobayashi@example.jp,Tokyo,JP,2019-09-23,2019-12-12,68000,warm_but_quiet
MC-0056,Sho Ito,sho.ito@example.jp,Kanazawa,JP,2019-01-08,2023-05-15,22000,warm_but_quiet
MC-0057,Ai Kondo,ai.kondo@example.jp,Tokyo,JP,2021-08-02,2022-07-12,0,warm_but_quiet
MC-0058,Akira Hashimoto,akira.hashimoto@example.jp,Sapporo,JP,2021-03-16,2026-03-20,0,tokyo_travel_in
MC-0059,Chie Sakamoto,chie.sakamoto@example.jp,Kobe,JP,2021-12-27,2024-06-14,26000,warm_but_quiet
MC-0060,Keiko Ito,keiko.ito@example.jp,Nagoya,JP,2022-08-29,2023-10-30,12000,tokyo_travel_in
MC-0061,Naoko Takeda,naoko.takeda@example.jp,Kanazawa,JP,2021-10-04,2026-09-10,120000,tokyo_travel_in
MC-0062,Kaito Murakami,kaito.murakami@example.jp,Fukuoka,JP,2022-01-08,2024-08-13,0,tokyo_travel_in
MC-0063,Chie Murakami,chie.murakami@example.jp,Nara,JP,2023-12-09,2026-09-04,44000,kyoto_kansai
MC-0064,Kazuki Kaneko,kazuki.kaneko@example.jp,Fukuoka,JP,2022-10-27,2024-09-04,12000,tokyo_travel_in
MC-0065,Ren Yoshida,ren.yoshida@example.jp,Kanazawa,JP,2024-05-26,2026-09-13,26000,tokyo_travel_in
MC-0066,Ryo Goto,ryo.goto@example.jp,Nara,JP,2020-08-19,2025-06-08,240000,warm_but_quiet
MC-0067,Hiroko Suzuki,hiroko.suzuki@example.jp,Fukuoka,JP,2020-03-06,2021-02-20,0,warm_but_quiet
MC-0068,Mio Hayashi,mio.hayashi@example.jp,Kanazawa,JP,2020-03-31,2023-06-21,44000,warm_but_quiet
MC-0069,Ren Nakagawa,ren.nakagawa@example.jp,Kanazawa,JP,2020-03-20,2022-03-01,68000,warm_but_quiet
MC-0070,Hina Hashimoto,hina.hashimoto@example.jp,Sendai,JP,2023-04-15,2026-08-29,12000,tokyo_travel_in
MC-0071,Hiroko Goto,hiroko.goto@example.jp,Tokyo,JP,2021-04-18,2022-03-04,18000,warm_but_quiet
MC-0072,Yuki Okada,yuki.okada@example.jp,Kobe,JP,2021-12-14,2023-12-20,44000,warm_but_quiet
MC-0073,Riko Ogawa,riko.ogawa@example.jp,Nagoya,JP,2019-09-08,2023-03-23,240000,warm_but_quiet
MC-0074,Sho Fukuda,sho.fukuda@example.jp,Kanazawa,JP,2023-11-05,2026-09-10,120000,tokyo_travel_in
MC-0075,Mio Takahashi,mio.takahashi@example.jp,Sapporo,JP,2021-01-19,2021-04-28,120000,warm_but_quiet
MC-0076,Sakura Sato,sakura.sato@example.jp,Sendai,JP,2022-03-26,2025-04-07,22000,tokyo_travel_in
MC-0077,Haruki Yamada,haruki.yamada@example.jp,Osaka,JP,2025-05-17,2026-09-15,180000,kyoto_kansai
MC-0078,Sho Suzuki,sho.suzuki@example.jp,Nara,JP,2021-08-23,2023-08-24,120000,warm_but_quiet
MC-0079,Yusuke Okamoto,yusuke.okamoto@example.jp,Nara,JP,2024-12-06,2025-07-21,44000,kyoto_kansai
MC-0080,Osamu Kimura,osamu.kimura@example.jp,Kyoto,JP,2024-12-24,2026-08-30,22000,kyoto_kansai
MC-0081,Mio Fukuda,mio.fukuda@example.jp,Sapporo,JP,2019-01-31,2025-06-22,32000,warm_but_quiet
MC-0082,Junko Yamaguchi,junko.yamaguchi@example.jp,Sapporo,JP,2022-09-23,2026-09-14,68000,tokyo_travel_in
MC-0083,Kenji Kimura,kenji.kimura@example.jp,Nagoya,JP,2025-05-29,2026-09-09,240000,tokyo_travel_in
MC-0084,Mio Takeda,mio.takeda@example.jp,Osaka,JP,2019-12-07,2023-07-30,0,warm_but_quiet
MC-0085,Akira Ota,akira.ota@example.jp,Fukuoka,JP,2021-03-28,2025-02-24,0,warm_but_quiet
MC-0086,Yuki Ogawa,yuki.ogawa@example.jp,Osaka,JP,2022-07-08,2026-09-04,44000,kyoto_kansai
MC-0087,Keiko Matsuda,keiko.matsuda@example.jp,Kyoto,JP,2020-03-07,2023-05-14,240000,warm_but_quiet
MC-0088,Ai Yamaguchi,ai.yamaguchi@example.jp,Kanazawa,JP,2025-02-22,2026-09-10,180000,tokyo_travel_in
MC-0089,Keiko Tamura,keiko.tamura@example.jp,Fukuoka,JP,2023-02-11,2026-08-30,22000,tokyo_travel_in
MC-0090,Yuko Nakamura,yuko.nakamura@example.jp,Nara,JP,2020-10-27,2024-04-20,120000,warm_but_quiet
MC-0091,Ren Takeda,ren.takeda@example.jp,Nagoya,JP,2023-08-02,2026-09-06,120000,tokyo_travel_in
MC-0092,Tetsuya Kobayashi,tetsuya.kobayashi@example.jp,Kanazawa,JP,2024-12-25,2026-08-17,12000,tokyo_travel_in
MC-0093,Chie Fujita,chie.fujita@example.jp,Sapporo,JP,2022-10-29,2026-08-18,32000,tokyo_travel_in
MC-0094,Kazuki Aoki,kazuki.aoki@example.jp,Sapporo,JP,2021-12-04,2022-08-14,68000,warm_but_quiet
MC-0095,Sakura Shimizu,sakura.shimizu@example.jp,Kobe,JP,2023-03-05,2026-09-03,44000,kyoto_kansai
MC-0096,Shun Hasegawa,shun.hasegawa@example.jp,Nagoya,JP,2021-02-15,2023-11-25,32000,warm_but_quiet
MC-0097,Yuki Nakamura,yuki.nakamura@example.jp,Nagoya,JP,2020-12-16,2023-08-20,0,warm_but_quiet
MC-0098,Rin Fujii,rin.fujii@example.jp,Sendai,JP,2022-03-14,2024-03-30,12000,tokyo_travel_in
MC-0099,Aoi Nakajima,aoi.nakajima@example.jp,Kobe,JP,2022-08-14,2026-08-24,68000,kyoto_kansai
MC-0100,Riko Ogawa,riko.ogawa@example.jp,Nagoya,JP,2024-09-28,2026-09-02,120000,tokyo_travel_in
MC-0101,Miki Fukuda,miki.fukuda@example.jp,Tokyo,JP,2021-11-04,2024-12-08,12000,warm_but_quiet
MC-0102,Osamu Hashimoto,osamu.hashimoto@example.jp,Kyoto,JP,2021-11-18,2023-05-13,0,warm_but_quiet
MC-0103,Sho Okamoto,sho.okamoto@example.jp,Sendai,JP,2025-06-25,2026-08-27,18000,tokyo_travel_in
MC-0104,Shun Ota,shun.ota@example.jp,Sapporo,JP,2021-09-07,2024-04-18,240000,warm_but_quiet
MC-0105,Ai Hayashi,ai.hayashi@example.jp,Nagoya,JP,2024-02-06,2026-08-22,320000,tokyo_travel_in
MC-0106,Shun Takahashi,shun.takahashi@example.jp,Sendai,JP,2022-07-11,2025-03-08,180000,tokyo_travel_in
MC-0107,Hiroshi Matsuda,hiroshi.matsuda@example.jp,Kanazawa,JP,2019-01-17,2022-07-24,0,warm_but_quiet
MC-0108,Miki Kondo,miki.kondo@example.jp,Osaka,JP,2022-03-27,2026-09-09,0,kyoto_kansai
MC-0109,Satoshi Kimura,satoshi.kimura@example.jp,Osaka,JP,2022-01-24,2024-04-28,12000,kyoto_kansai
MC-0110,Chie Kaneko,chie.kaneko@example.jp,Fukuoka,JP,2019-05-07,2024-01-24,0,warm_but_quiet
MC-0111,Mio Hasegawa,mio.hasegawa@example.jp,Fukuoka,JP,2019-07-16,2023-02-05,32000,warm_but_quiet
MC-0112,Ren Matsumoto,ren.matsumoto@example.jp,Sapporo,JP,2024-07-30,2026-09-15,0,tokyo_travel_in
MC-0113,Junko Sasaki,junko.sasaki@example.jp,Fukuoka,JP,2023-11-21,2025-02-08,0,tokyo_travel_in
MC-0114,Takeshi Okada,takeshi.okada@example.jp,Fukuoka,JP,2019-09-18,2019-10-25,180000,warm_but_quiet
MC-0115,Kenji Kato,kenji.kato@example.jp,Sendai,JP,2020-03-08,2025-05-14,240000,warm_but_quiet
MC-0116,Akira Kondo,akira.kondo@example.jp,Kyoto,JP,2021-04-21,2022-07-20,120000,warm_but_quiet
MC-0117,Akira Miura,akira.miura@example.jp,Kanazawa,JP,2024-10-02,2026-08-19,0,tokyo_travel_in
MC-0118,Yui Kaneko,yui.kaneko@example.jp,Sendai,JP,2023-08-24,2026-08-21,0,tokyo_travel_in
MC-0119,Takeshi Nakano,takeshi.nakano@example.jp,Kanazawa,JP,2022-03-08,2025-01-11,180000,tokyo_travel_in
MC-0120,Nao Okada,nao.okada@example.jp,Nagoya,JP,2023-07-16,2023-10-12,240000,tokyo_travel_in
MC-0121,Michael Miller,michael.miller@example.com,Brussels,BE,2021-02-22,2025-06-27,240000,warm_but_quiet
MC-0122,Kate Jackson,kate.jackson@example.com,Brussels,BE,2022-07-24,2025-01-12,320000,paris_european
MC-0123,Grace Garcia,grace.garcia@example.com,Brussels,BE,2024-08-23,2026-09-09,32000,paris_european
MC-0124,Nicole Johnson,nicole.johnson@example.com,Amsterdam,NL,2022-11-29,2026-08-22,26000,paris_european
MC-0125,Andrew Johnson,andrew.johnson@example.com,Milan,IT,2021-08-14,2023-03-26,240000,warm_but_quiet
MC-0126,Grace Wilson,grace.wilson@example.com,Brussels,BE,2020-05-21,2025-07-22,0,warm_but_quiet
MC-0127,Brian Torres,brian.torres@example.com,London,GB,2022-05-31,2026-08-26,0,paris_european
MC-0128,David Robinson,david.robinson@example.com,Vancouver,CA,2019-02-20,2024-04-26,26000,warm_but_quiet
MC-0129,Robert Johnson,robert.johnson@example.com,Barcelona,ES,2022-12-19,2026-08-01,0,paris_european
MC-0130,William Williams,william.williams@example.com,Munich,DE,2023-02-12,2024-03-25,26000,paris_european
MC-0131,Grace Williams,grace.williams@example.com,Lyon,FR,2023-12-03,2024-12-17,0,paris_european
MC-0132,Kate King,kate.king@example.com,Paris,FR,2019-11-04,2023-11-13,68000,warm_but_quiet
MC-0133,Anna Baker,anna.baker@example.com,Seattle,US,2020-03-26,2025-10-26,26000,north_america
MC-0134,Christopher Lewis,christopher.lewis@example.com,Berlin,DE,2024-06-10,2026-08-19,44000,paris_european
MC-0135,Claire Wright,claire.wright@example.com,Milan,IT,2023-03-09,2024-09-05,240000,paris_european
MC-0136,Matthew Taylor,matthew.taylor@example.com,Amsterdam,NL,2022-07-07,2023-01-23,180000,paris_european
MC-0137,Steven Walker,steven.walker@example.com,Vancouver,CA,2022-05-14,2023-12-23,0,north_america
MC-0138,Ian Martinez,ian.martinez@example.com,Marseille,FR,2022-01-26,2024-09-23,68000,paris_european
MC-0139,Owen Moore,owen.moore@example.com,Seattle,US,2019-06-13,2025-02-19,320000,warm_but_quiet
MC-0140,David Scott,david.scott@example.com,Amsterdam,NL,2021-07-23,2023-08-13,18000,warm_but_quiet
MC-0141,Amanda Scott,amanda.scott@example.com,Brussels,BE,2019-11-03,2022-12-17,12000,warm_but_quiet
MC-0142,Maya Miller,maya.miller@example.com,Brussels,BE,2024-02-25,2026-09-10,120000,paris_european
MC-0143,Michelle Thomas,michelle.thomas@example.com,Munich,DE,2021-09-17,2025-02-24,44000,warm_but_quiet
MC-0144,Hannah Robinson,hannah.robinson@example.com,Berlin,DE,2024-02-24,2026-09-03,180000,paris_european
MC-0145,Ian Robinson,ian.robinson@example.com,London,GB,2019-01-30,2020-06-15,44000,warm_but_quiet
MC-0146,James Thomas,james.thomas@example.com,Seattle,US,2021-04-20,2024-01-07,240000,warm_but_quiet
MC-0147,Nicole Rodriguez,nicole.rodriguez@example.com,Paris,FR,2023-08-08,2026-08-19,32000,paris_european
MC-0148,Maya Davis,maya.davis@example.com,Barcelona,ES,2024-04-27,2026-08-28,120000,paris_european
MC-0149,Thomas Baker,thomas.baker@example.com,Milan,IT,2023-05-28,2026-08-31,320000,paris_european
MC-0150,Michelle King,michelle.king@example.com,Milan,IT,2025-04-30,2026-09-11,26000,paris_european
MC-0151,Matthew Miller,matthew.miller@example.com,Milan,IT,2021-05-08,2026-04-19,0,paris_european
MC-0152,Nicole Wilson,nicole.wilson@example.com,Amsterdam,NL,2019-12-27,2021-05-08,320000,warm_but_quiet
MC-0153,Ian Miller,ian.miller@example.com,Los_Angeles,US,2020-03-22,2025-09-02,22000,warm_but_quiet
MC-0154,Laura Lewis,laura.lewis@example.com,London,GB,2024-05-07,2026-08-31,44000,paris_european
MC-0155,Laura Robinson,laura.robinson@example.com,Amsterdam,NL,2022-06-24,2026-08-28,12000,paris_european
MC-0156,Ian Allen,ian.allen@example.com,London,GB,2025-03-26,2026-08-27,68000,paris_european
MC-0157,David Perez,david.perez@example.com,Berlin,DE,2020-09-14,2023-11-27,12000,warm_but_quiet
MC-0158,Laura Allen,laura.allen@example.com,Milan,IT,2021-12-28,2025-12-07,0,paris_european
MC-0159,Ashley Clark,ashley.clark@example.com,Milan,IT,2021-12-15,2026-09-11,44000,paris_european
MC-0160,Matthew Hernandez,matthew.hernandez@example.com,Amsterdam,NL,2021-08-30,2026-09-04,22000,paris_european
MC-0161,Anna Rodriguez,anna.rodriguez@example.com,Brussels,BE,2021-11-02,2024-12-12,180000,warm_but_quiet
MC-0162,Ian Young,ian.young@example.com,Los_Angeles,US,2023-11-28,2026-08-16,68000,north_america
MC-0163,Kevin Taylor,kevin.taylor@example.com,Paris,FR,2021-07-01,2023-04-25,18000,warm_but_quiet
MC-0164,Nicole Anderson,nicole.anderson@example.com,Brussels,BE,2023-04-27,2026-09-06,180000,paris_european
MC-0165,David Thomas,david.thomas@example.com,Brussels,BE,2022-02-15,2022-04-30,240000,paris_european
MC-0166,Brian Johnson,brian.johnson@example.com,Milan,IT,2023-05-12,2026-09-03,12000,paris_european
MC-0167,Ashley White,ashley.white@example.com,New_York,US,2025-05-13,2026-09-07,32000,north_america
MC-0168,James Sanchez,james.sanchez@example.com,Amsterdam,NL,2019-07-17,2025-12-29,22000,paris_european
MC-0169,Karen Garcia,karen.garcia@example.com,New_York,US,2024-05-22,2026-09-06,0,north_america
MC-0170,Steven Young,steven.young@example.com,Brussels,BE,2023-08-28,2026-03-10,32000,paris_european
MC-0171,Rebecca White,rebecca.white@example.com,Barcelona,ES,2023-09-28,2024-05-01,0,paris_european
MC-0172,Daniel Smith,daniel.smith@example.com,Seattle,US,2019-06-04,2024-12-20,32000,warm_but_quiet
MC-0173,Kevin Nguyen,kevin.nguyen@example.com,Portland,US,2025-05-08,2026-08-23,12000,north_america
MC-0174,Rebecca Wilson,rebecca.wilson@example.com,Berlin,DE,2021-09-10,2025-01-19,68000,warm_but_quiet
MC-0175,Nicole Rodriguez,nicole.rodriguez@example.com,Seattle,US,2024-03-28,2024-11-14,12000,north_america
MC-0176,Hannah Hernandez,hannah.hernandez@example.com,London,GB,2025-03-08,2026-09-04,32000,paris_european
MC-0177,Ellen White,ellen.white@example.com,Munich,DE,2020-06-03,2023-07-06,18000,warm_but_quiet
MC-0178,William Harris,william.harris@example.com,Paris,FR,2023-03-03,2025-03-23,320000,paris_european
MC-0179,Emily Harris,emily.harris@example.com,Marseille,FR,2025-07-07,2026-08-29,240000,paris_european
MC-0180,Michelle Jones,michelle.jones@example.com,Paris,FR,2019-10-01,2023-08-31,26000,warm_but_quiet
MC-0181,Grace Clark,grace.clark@example.com,Milan,IT,2022-07-02,2026-09-13,18000,paris_european
MC-0182,Ashley Brown,ashley.brown@example.com,New_York,US,2022-12-17,2025-08-29,44000,north_america
MC-0183,Karen Wilson,karen.wilson@example.com,London,GB,2022-12-13,2025-12-12,0,paris_european
MC-0184,Michael Young,michael.young@example.com,Brussels,BE,2024-03-01,2026-09-07,120000,paris_european
MC-0185,Christopher Martin,christopher.martin@example.com,Milan,IT,2024-06-12,2026-09-01,180000,paris_european
MC-0186,Kevin Hill,kevin.hill@example.com,London,GB,2020-06-22,2020-10-23,120000,warm_but_quiet
MC-0187,William Miller,william.miller@example.com,Marseille,FR,2021-08-23,2023-12-06,18000,warm_but_quiet
MC-0188,Steven Martin,steven.martin@example.com,Munich,DE,2021-02-10,2022-12-27,0,warm_but_quiet
MC-0189,Michael White,michael.white@example.com,Paris,FR,2020-07-05,2026-08-16,22000,paris_european
MC-0190,Michelle King,michelle.king@example.com,Munich,DE,2020-02-27,2025-08-14,120000,warm_but_quiet
MC-0191,Grace Ramirez,grace.ramirez@example.com,Lyon,FR,2021-12-16,2022-12-04,180000,warm_but_quiet
MC-0192,Kevin Nguyen,kevin.nguyen@example.com,Paris,FR,2024-05-29,2026-09-05,26000,paris_european
MC-0193,Jessica Lopez,jessica.lopez@example.com,Amsterdam,NL,2020-05-11,2021-10-14,32000,warm_but_quiet
MC-0194,Sophie Walker,sophie.walker@example.com,Munich,DE,2023-03-24,2026-08-21,12000,paris_european
MC-0195,Owen Smith,owen.smith@example.com,Milan,IT,2019-10-12,2022-04-11,240000,warm_but_quiet
MC-0196,Jennifer Smith,jennifer.smith@example.com,Munich,DE,2022-12-12,2026-08-21,120000,paris_european
MC-0197,Kyle Smith,kyle.smith@example.com,London,GB,2020-08-12,2026-03-18,32000,paris_european
MC-0198,Michael Johnson,michael.johnson@example.com,Lyon,FR,2025-01-15,2026-08-19,32000,paris_european
MC-0199,Robert Wright,robert.wright@example.com,Los_Angeles,US,2023-02-27,2026-08-28,32000,north_america
MC-0200,Julia White,julia.white@example.com,Amsterdam,NL,2024-06-25,2026-09-12,120000,paris_european
MC-0201,Lucas Lambert,lucas.lambert@example.fr,Marseille,FR,2019-12-25,2021-07-31,26000,warm_but_quiet
MC-0202,Amelie Richard,amelie.richard@example.fr,Berlin,DE,2022-12-01,2026-01-01,44000,paris_european
MC-0203,Camille Bonnet,camille.bonnet@example.fr,Brussels,BE,2023-06-08,2025-11-27,0,paris_european
MC-0204,Pierre David,pierre.david@example.fr,Marseille,FR,2019-04-23,2024-01-13,240000,warm_but_quiet
MC-0205,Mathieu Vincent,mathieu.vincent@example.fr,Marseille,FR,2024-11-13,2026-08-28,180000,paris_european
MC-0206,Pierre Petit,pierre.petit@example.fr,Paris,FR,2022-07-22,2024-03-13,320000,paris_european
MC-0207,Etienne Dupont,etienne.dupont@example.fr,Berlin,DE,2022-03-13,2023-08-26,120000,paris_european
MC-0208,Pierre Girard,pierre.girard@example.fr,Berlin,DE,2025-06-29,2026-09-12,180000,paris_european
MC-0209,Pierre Bernard,pierre.bernard@example.fr,Berlin,DE,2020-03-03,2022-08-26,18000,warm_but_quiet
MC-0210,Emma Dupont,emma.dupont@example.fr,Berlin,DE,2023-10-21,2025-10-07,18000,paris_european
MC-0211,Chloe Roux,chloe.roux@example.fr,Berlin,DE,2024-08-04,2026-08-23,180000,paris_european
MC-0212,Mathieu Durand,mathieu.durand@example.fr,Lyon,FR,2019-03-31,2024-08-25,120000,warm_but_quiet
MC-0213,Etienne Petit,etienne.petit@example.fr,Lyon,FR,2021-11-10,2023-08-19,240000,warm_but_quiet
MC-0214,Lucas Garcia,lucas.garcia@example.fr,Paris,FR,2025-06-11,2026-08-31,0,paris_european
MC-0215,Sophie Michel,sophie.michel@example.fr,Brussels,BE,2023-03-21,2026-07-11,22000,paris_european
MC-0216,Camille Thomas,camille.thomas@example.fr,Brussels,BE,2024-12-04,2026-09-05,44000,paris_european
MC-0217,Amelie Moreau,amelie.moreau@example.fr,Berlin,DE,2021-12-28,2026-06-21,180000,paris_european
MC-0218,Chloe Laurent,chloe.laurent@example.fr,Marseille,FR,2021-08-23,2026-08-19,120000,paris_european
MC-0219,Amelie Richard,amelie.richard@example.fr,Berlin,DE,2019-09-06,2021-04-11,240000,warm_but_quiet
MC-0220,Emma Laurent,emma.laurent@example.fr,Marseille,FR,2021-05-04,2026-03-02,120000,paris_european
MC-0221,Etienne David,etienne.david@example.fr,Berlin,DE,2019-05-01,2021-06-30,320000,warm_but_quiet
MC-0222,Etienne Morel,etienne.morel@example.fr,Lyon,FR,2025-04-07,2026-08-24,12000,paris_european
MC-0223,Antoine Bernard,antoine.bernard@example.fr,Lyon,FR,2020-08-15,2022-09-19,0,warm_but_quiet
MC-0224,Chloe Leroy,chloe.leroy@example.fr,Brussels,BE,2020-01-21,2024-01-30,22000,warm_but_quiet
MC-0225,Julien Martin,julien.martin@example.fr,Paris,FR,2023-02-21,2023-08-24,18000,paris_european
MC-0226,Vincent Martin,vincent.martin@example.fr,Paris,FR,2021-04-26,2026-08-26,0,paris_european
MC-0227,Camille Durand,camille.durand@example.fr,Paris,FR,2021-06-02,2024-02-19,32000,warm_but_quiet
MC-0228,Nicolas Petit,nicolas.petit@example.fr,Berlin,DE,2021-06-17,2026-09-10,44000,paris_european
MC-0229,Elodie Bonnet,elodie.bonnet@example.fr,Brussels,BE,2020-02-02,2024-02-20,0,warm_but_quiet
MC-0230,Camille Robert,camille.robert@example.fr,Lyon,FR,2022-01-05,2026-01-23,180000,paris_european
MC-0231,Guillaume Richard,guillaume.richard@example.fr,Brussels,BE,2021-05-29,2021-11-11,18000,warm_but_quiet
MC-0232,Julien Lefevre,julien.lefevre@example.fr,Paris,FR,2019-02-20,2024-04-13,0,warm_but_quiet
