inquiry_id,contact_name,contact_id,date,source,interest,disposition,note
HS-0051,Marie Martin,MC-0237,2025-01-05,museum_referral,open_studio_visit,invited_to_open_studio,"quiet buyer, keep on the list"
HS-0052,Nicole Wilson,MC-0152,2025-01-07,shibui_referral,large_vessel,invited_to_open_studio,referred to Akiko at Shibui for the plate set
HS-0053,Claire Thomas,MC-0234,2025-01-18,typeform,open_studio_visit,closed_no_fit,"quiet buyer, keep on the list"
HS-0054,Antoine Bernard,MC-0223,2025-01-26,instagram_dm_via_gmail_forward,tea_bowl,note_and_hold,"wholesale request, declined"
HS-0055,Etienne Petit,MC-0213,2025-02-02,word_of_mouth,serving_bowl,closed_no_fit,open studio invitation appropriate
HS-0056,Tetsuya Kobayashi,MC-0092,2025-02-07,word_of_mouth,studio_visit_by_appointment,referred_to_shibui,wants to visit in the autumn
HS-0057,Sho Fukuda,MC-0074,2025-02-07,instagram_dm_via_gmail_forward,open_studio_visit,sold_matched,open studio invitation appropriate
HS-0058,Matthew Taylor,MC-0136,2025-02-17,instagram_dm_via_gmail_forward,large_vessel,closed_no_fit,asked about the mountain-ash surface
HS-0059,Aoi Takeda,MC-0043,2025-02-18,museum_referral,studio_visit_by_appointment,sold_matched,asked about the mountain-ash surface
HS-0060,Matthew Miller,MC-0151,2025-02-19,shibui_referral,wholesale_inquiry,note_and_hold,open studio invitation appropriate
HS-0061,Karen Wilson,MC-0183,2025-02-21,typeform,serving_bowl,invited_to_open_studio,"wholesale request, declined"
HS-0062,Michelle Jones,MC-0180,2025-02-28,email,studio_visit_by_appointment,sold_matched,asked about the mountain-ash surface
HS-0063,Camille Bonnet,MC-0203,2025-03-01,typeform,yunomi,note_and_hold,asked about the mountain-ash surface
HS-0064,Owen Moore,MC-0139,2025-03-05,word_of_mouth,large_vessel,waiting_for_stock,asked if the piece can be posted overseas
HS-0065,Aoi Fukuda,MC-0036,2025-03-10,shibui_referral,wholesale_inquiry,closed_no_fit,not for this cycle
HS-0066,Takeshi Nakano,MC-0119,2025-03-14,shibui_referral,wholesale_inquiry,referred_to_shibui,"wholesale request, declined"
HS-0067,Sakura Shimizu,MC-0095,2025-03-14,shibui_referral,studio_visit_by_appointment,invited_to_open_studio,wants to visit in the autumn
HS-0068,Mio Matsuda,MC-0035,2025-03-21,typeform,serving_bowl,referred_to_galerie_terre,open studio invitation appropriate
HS-0069,Hiroshi Nishimura,MC-0026,2025-03-23,word_of_mouth,commission_inquiry,note_and_hold,"quiet buyer, keep on the list"
HS-0070,Yui Takahashi,MC-0009,2025-03-25,email,large_vessel,waiting_for_stock,not for this cycle
HS-0071,Naoko Matsumoto,MC-0007,2025-03-29,email,commission_inquiry,invited_to_open_studio,not for this cycle
HS-0072,Maya Kimura,MC-0051,2025-04-14,galerie_terre_referral,large_vessel,referred_to_shibui,referred to Akiko at Shibui for the plate set
HS-0073,Ian Allen,MC-0156,2025-04-14,galerie_terre_referral,serving_bowl,closed_no_fit,"quiet buyer, keep on the list"
HS-0074,Michelle King,MC-0190,2025-04-16,open_studio,yunomi,invited_to_open_studio,open studio invitation appropriate
HS-0075,Junko Sasaki,MC-0113,2025-04-16,galerie_terre_referral,studio_visit_by_appointment,sold_matched,wants to visit in the autumn
HS-0076,Mathieu Durand,MC-0212,2025-04-27,open_studio,tea_bowl,waiting_for_stock,referred to Akiko at Shibui for the plate set
HS-0077,Kate Jackson,MC-0122,2025-05-04,email,wholesale_inquiry,closed_no_fit,"quiet buyer, keep on the list"
HS-0078,Emily Harris,MC-0179,2025-05-05,instagram_dm_via_gmail_forward,large_vessel,invited_to_open_studio,referred to Akiko at Shibui for the plate set
HS-0079,Julien Lefevre,MC-0232,2025-05-15,galerie_terre_referral,open_studio_visit,sold_matched,"quiet buyer, keep on the list"
HS-0080,Hina Endo,MC-0033,2025-05-21,museum_referral,commission_inquiry,sold_matched,open studio invitation appropriate
HS-0081,Riko Nakagawa,MC-0037,2025-05-24,instagram_dm_via_gmail_forward,commission_inquiry,referred_to_shibui,not for this cycle
HS-0082,Michelle King,MC-0150,2025-05-26,shibui_referral,serving_bowl,waiting_for_stock,wants to visit in the autumn
HS-0083,Yusuke Okamoto,MC-0079,2025-05-31,word_of_mouth,commission_inquiry,note_and_hold,asked about the mountain-ash surface
HS-0084,Rin Fujii,MC-0098,2025-06-11,typeform,commission_inquiry,waiting_for_stock,referred to Akiko at Shibui for the plate set
HS-0085,David Thomas,MC-0165,2025-06-13,museum_referral,tea_bowl,waiting_for_stock,"wholesale request, declined"
HS-0086,Hannah Hernandez,MC-0176,2025-06-22,email,yunomi,sold_matched,wants to visit in the autumn
HS-0087,Mio Takahashi,MC-0075,2025-06-22,museum_referral,commission_inquiry,referred_to_shibui,asked if the piece can be posted overseas
HS-0088,Owen Moore,MC-0139,2025-06-27,word_of_mouth,yunomi,sold_matched,"quiet buyer, keep on the list"
HS-0089,Kate King,MC-0132,2025-07-01,galerie_terre_referral,serving_bowl,closed_no_fit,not for this cycle
HS-0090,Amelie Richard,MC-0219,2025-07-10,email,serving_bowl,referred_to_galerie_terre,"quiet buyer, keep on the list"
HS-0091,Hina Hashimoto,MC-0070,2025-07-18,shibui_referral,large_vessel,closed_no_fit,open studio invitation appropriate
HS-0092,Chie Sakamoto,MC-0059,2025-07-20,galerie_terre_referral,serving_bowl,invited_to_open_studio,not for this cycle
HS-0093,Vincent Dubois,MC-0240,2025-07-28,museum_referral,serving_bowl,sold_matched,asked about the mountain-ash surface
HS-0094,Grace Clark,MC-0181,2025-08-11,open_studio,commission_inquiry,sold_matched,asked if the piece can be posted overseas
HS-0095,Brian Johnson,MC-0166,2025-08-17,galerie_terre_referral,yunomi,invited_to_open_studio,referred to Akiko at Shibui for the plate set
HS-0096,Claire Wright,MC-0135,2025-08-24,galerie_terre_referral,wholesale_inquiry,sold_matched,wants to visit in the autumn
HS-0097,Charlotte Michel,MC-0236,2025-09-16,typeform,serving_bowl,sold_matched,"quiet buyer, keep on the list"
HS-0098,Jessica Lopez,MC-0193,2025-09-27,email,yunomi,note_and_hold,wants to visit in the autumn
HS-0099,Mio Hayashi,MC-0068,2025-10-02,galerie_terre_referral,serving_bowl,note_and_hold,not for this cycle
HS-0100,Thomas Baker,MC-0149,2025-10-17,typeform,commission_inquiry,referred_to_shibui,"quiet buyer, keep on the list"
HS-0101,Sho Ito,MC-0056,2025-10-21,shibui_referral,open_studio_visit,invited_to_open_studio,"wholesale request, declined"
HS-0102,Ian Allen,MC-0156,2025-10-24,museum_referral,commission_inquiry,note_and_hold,open studio invitation appropriate
HS-0103,Chloe Roux,MC-0211,2025-10-28,email,yunomi,invited_to_open_studio,asked about the mountain-ash surface
HS-0104,Kate King,MC-0132,2025-11-22,word_of_mouth,wholesale_inquiry,sold_matched,"wholesale request, declined"
HS-0105,Sho Endo,MC-0015,2025-11-23,shibui_referral,tea_bowl,closed_no_fit,asked if the piece can be posted overseas
HS-0106,Yui Harada,MC-0050,2025-11-29,shibui_referral,commission_inquiry,note_and_hold,open studio invitation appropriate
HS-0107,Steven Martin,MC-0188,2025-12-06,shibui_referral,commission_inquiry,sold_matched,not for this cycle
HS-0108,Ellen White,MC-0177,2025-12-09,museum_referral,studio_visit_by_appointment,referred_to_galerie_terre,"quiet buyer, keep on the list"
HS-0109,Julien Lefevre,MC-0232,2025-12-10,galerie_terre_referral,serving_bowl,waiting_for_stock,wants to visit in the autumn
HS-0110,Matthew Hernandez,MC-0160,2025-12-31,instagram_dm_via_gmail_forward,commission_inquiry,sold_matched,asked if the piece can be posted overseas
HS-0111,Charlotte Michel,MC-0236,2026-01-02,word_of_mouth,open_studio_visit,sold_matched,asked about the mountain-ash surface
HS-0112,Pierre Bernard,MC-0209,2026-01-04,shibui_referral,serving_bowl,referred_to_shibui,open studio invitation appropriate
HS-0113,Miki Kondo,MC-0108,2026-01-05,typeform,yunomi,closed_no_fit,wants to visit in the autumn
HS-0114,Chie Ikeda,MC-0010,2026-01-10,shibui_referral,large_vessel,sold_matched,asked about the mountain-ash surface
HS-0115,Grace Ramirez,MC-0191,2026-01-14,instagram_dm_via_gmail_forward,studio_visit_by_appointment,invited_to_open_studio,"wholesale request, declined"
HS-0116,Camille Thomas,MC-0216,2026-01-24,shibui_referral,wholesale_inquiry,note_and_hold,"wholesale request, declined"
HS-0117,Yuki Okada,MC-0072,2026-01-25,word_of_mouth,yunomi,closed_no_fit,open studio invitation appropriate
HS-0118,Junko Nakamura,MC-0029,2026-01-30,word_of_mouth,serving_bowl,referred_to_galerie_terre,"quiet buyer, keep on the list"
HS-0119,Kaito Aoki,MC-0048,2026-02-08,typeform,large_vessel,invited_to_open_studio,asked if the piece can be posted overseas
HS-0120,Camille Robert,MC-0230,2026-03-01,shibui_referral,studio_visit_by_appointment,note_and_hold,"wholesale request, declined"
HS-0121,Michael Johnson,MC-0198,2026-03-10,museum_referral,large_vessel,sold_matched,open studio invitation appropriate
HS-0122,Kenji Kimura,MC-0083,2026-03-19,email,yunomi,invited_to_open_studio,open studio invitation appropriate
HS-0123,Ren Nakagawa,MC-0069,2026-03-26,open_studio,large_vessel,closed_no_fit,asked about the mountain-ash surface
HS-0124,Kazuki Kaneko,MC-0064,2026-03-26,museum_referral,serving_bowl,referred_to_shibui,referred to Akiko at Shibui for the plate set
HS-0125,Lucas Lambert,MC-0201,2026-03-29,museum_referral,tea_bowl,closed_no_fit,referred to Akiko at Shibui for the plate set
HS-0126,Junko Nakamura,MC-0029,2026-04-04,instagram_dm_via_gmail_forward,wholesale_inquiry,waiting_for_stock,asked about the mountain-ash surface
HS-0127,Sophie Walker,MC-0194,2026-04-04,museum_referral,yunomi,note_and_hold,wants to visit in the autumn
HS-0128,Ian Martinez,MC-0138,2026-04-06,word_of_mouth,commission_inquiry,sold_matched,wants to visit in the autumn
HS-0129,Etienne Dupont,MC-0207,2026-04-07,galerie_terre_referral,tea_bowl,note_and_hold,"quiet buyer, keep on the list"
HS-0130,Ai Kondo,MC-0057,2026-04-08,shibui_referral,tea_bowl,referred_to_galerie_terre,referred to Akiko at Shibui for the plate set
HS-0131,Charlotte Michel,MC-0236,2026-04-14,museum_referral,tea_bowl,closed_no_fit,open studio invitation appropriate
HS-0132,David Perez,MC-0157,2026-04-19,word_of_mouth,yunomi,note_and_hold,asked about the mountain-ash surface
HS-0133,Lucas Lambert,MC-0201,2026-05-03,galerie_terre_referral,yunomi,referred_to_galerie_terre,asked if the piece can be posted overseas
HS-0134,Yuko Nakamura,MC-0090,2026-05-17,email,wholesale_inquiry,note_and_hold,asked about the mountain-ash surface
HS-0135,Rebecca White,MC-0171,2026-05-20,instagram_dm_via_gmail_forward,large_vessel,referred_to_shibui,"quiet buyer, keep on the list"
HS-0136,Chloe Laurent,MC-0218,2026-05-20,word_of_mouth,studio_visit_by_appointment,referred_to_galerie_terre,asked about the mountain-ash surface
HS-0137,Emily Harris,MC-0179,2026-05-29,instagram_dm_via_gmail_forward,serving_bowl,referred_to_shibui,asked about the mountain-ash surface
HS-0138,Michael White,MC-0189,2026-05-30,word_of_mouth,commission_inquiry,invited_to_open_studio,referred to Akiko at Shibui for the plate set
HS-0139,Lucas Garcia,MC-0214,2026-06-14,museum_referral,yunomi,invited_to_open_studio,asked about the mountain-ash surface
HS-0140,Robert Wright,MC-0199,2026-06-21,museum_referral,yunomi,invited_to_open_studio,open studio invitation appropriate
HS-0141,Amelie Moreau,MC-0217,2026-06-24,word_of_mouth,serving_bowl,referred_to_galerie_terre,referred to Akiko at Shibui for the plate set
HS-0142,Chloe Laurent,MC-0218,2026-06-27,shibui_referral,serving_bowl,note_and_hold,asked about the mountain-ash surface
HS-0143,Kazuki Ono,MC-0005,2026-06-28,museum_referral,open_studio_visit,sold_matched,asked if the piece can be posted overseas
HS-0144,Keiko Matsuda,MC-0087,2026-07-02,galerie_terre_referral,tea_bowl,referred_to_galerie_terre,asked about the mountain-ash surface
HS-0145,Julien Martin,MC-0225,2026-07-09,word_of_mouth,serving_bowl,referred_to_galerie_terre,wants to visit in the autumn
HS-0146,Nicole Rodriguez,MC-0147,2026-07-13,typeform,open_studio_visit,referred_to_galerie_terre,"wholesale request, declined"
HS-0147,Chie Murakami,MC-0063,2026-07-22,instagram_dm_via_gmail_forward,large_vessel,waiting_for_stock,not for this cycle
HS-0148,Yuko Okamoto,MC-0014,2026-08-06,typeform,studio_visit_by_appointment,referred_to_shibui,open studio invitation appropriate
HS-0149,Lucas Garcia,MC-0214,2026-08-12,email,wholesale_inquiry,closed_no_fit,open studio invitation appropriate
HS-0150,Etienne David,MC-0221,2026-08-14,museum_referral,open_studio_visit,referred_to_galerie_terre,wants to visit in the autumn
