id,employeeId,name,type,start,end
who-59,emp-3058,Ivan Cho,Holiday,2026-11-19,2026-11-19
who-60,emp-3059,Zoe Cho,PTO,2026-11-20,2026-11-20
who-61,emp-3060,Cole Cho,Holiday,2026-11-21,2026-11-21
who-62,emp-3061,Priya Reyes,PTO,2026-11-02,2026-11-02
who-63,emp-3062,Marcus Reyes,PTO,2026-11-03,2026-11-03
who-64,emp-3063,Dana Reyes,PTO,2026-11-04,2026-11-04
who-65,emp-3064,Evan Reyes,Sick,2026-11-05,2026-11-05
who-66,emp-3065,Grace Reyes,Sick,2026-11-06,2026-11-06
who-67,emp-3066,Nadia Reyes,Holiday,2026-11-07,2026-11-07
who-68,emp-3067,Sam Reyes,Sick,2026-11-08,2026-11-08
who-69,emp-3068,Tomas Reyes,Holiday,2026-11-09,2026-11-09
who-70,emp-3069,Wendy Reyes,Sick,2026-11-10,2026-11-10
who-71,emp-3070,Leo Reyes,PTO,2026-11-11,2026-11-11
who-72,emp-3071,Aisha Reyes,PTO,2026-11-12,2026-11-12
who-73,emp-3072,Ravi Reyes,Sick,2026-11-13,2026-11-13
who-74,emp-3073,Mia Reyes,Holiday,2026-11-14,2026-11-14
who-75,emp-3074,Owen Reyes,Holiday,2026-11-15,2026-11-15
who-76,emp-3075,Lena Reyes,Holiday,2026-11-16,2026-11-16
who-77,emp-3076,Kai Reyes,PTO,2026-11-17,2026-11-17
who-78,emp-3077,Nora Reyes,Holiday,2026-11-18,2026-11-18
who-79,emp-3078,Ivan Reyes,PTO,2026-11-19,2026-11-19
who-80,emp-3079,Zoe Reyes,Holiday,2026-11-20,2026-11-20
who-81,emp-3080,Cole Reyes,Sick,2026-11-21,2026-11-21
who-82,emp-3081,Priya Fox,Holiday,2026-11-02,2026-11-02
who-83,emp-3082,Marcus Fox,Sick,2026-11-03,2026-11-03
who-84,emp-3083,Dana Fox,Holiday,2026-11-04,2026-11-04
who-85,emp-3084,Evan Fox,PTO,2026-11-05,2026-11-05
who-86,emp-3085,Grace Fox,PTO,2026-11-06,2026-11-06
who-87,emp-3086,Nadia Fox,PTO,2026-11-07,2026-11-07
who-88,emp-3087,Sam Fox,PTO,2026-11-08,2026-11-08
who-89,emp-3088,Tomas Fox,PTO,2026-11-09,2026-11-09
who-90,emp-3089,Wendy Fox,Holiday,2026-11-10,2026-11-10
who-91,emp-3090,Leo Fox,PTO,2026-11-11,2026-11-11
who-92,emp-3091,Aisha Fox,Holiday,2026-11-12,2026-11-12
who-93,emp-3092,Ravi Fox,PTO,2026-11-13,2026-11-13
who-94,emp-3093,Mia Fox,Sick,2026-11-14,2026-11-14
who-95,emp-3094,Owen Fox,Sick,2026-11-15,2026-11-15
who-96,emp-3095,Lena Fox,Holiday,2026-11-16,2026-11-16
who-97,emp-3096,Kai Fox,PTO,2026-11-17,2026-11-17
who-98,emp-3097,Nora Fox,PTO,2026-11-18,2026-11-18
who-99,emp-3098,Ivan Fox,Holiday,2026-11-19,2026-11-19
who-100,emp-3099,Zoe Fox,PTO,2026-11-20,2026-11-20
who-101,emp-3100,Cole Fox,Sick,2026-11-21,2026-11-21
who-102,emp-3101,Priya Osei,Sick,2026-11-02,2026-11-02
who-103,emp-3102,Marcus Osei,Sick,2026-11-03,2026-11-03
who-104,emp-3103,Dana Osei,Sick,2026-11-04,2026-11-04
who-105,emp-3104,Evan Osei,Sick,2026-11-05,2026-11-05
who-106,emp-3105,Grace Osei,Holiday,2026-11-06,2026-11-06
who-107,emp-3106,Nadia Osei,Holiday,2026-11-07,2026-11-07
who-108,emp-3107,Sam Osei,Sick,2026-11-08,2026-11-08
who-109,emp-3108,Tomas Osei,Sick,2026-11-09,2026-11-09
who-110,emp-3109,Wendy Osei,PTO,2026-11-10,2026-11-10
